time,temperature_2m (°C),relative_humidity_2m (%),precipitation_probability (%),rain (mm),cloud_cover (%)
2024-12-07T00:00,27.3,69,13,0,100
2024-12-07T01:00,25.7,76,10,0,100
2024-12-07T02:00,25.3,78,7,0,57
2024-12-07T03:00,24.8,80,5,0,90
2024-12-07T04:00,24.3,82,3,0,100
2024-12-07T05:00,23.8,83,1,0,100
2024-12-07T06:00,23.5,85,0,0,100
2024-12-07T07:00,24.1,84,0,0,100
2024-12-07T08:00,26.2,76,7,0,100
2024-12-07T09:00,28,69,16,0,100
2024-12-07T10:00,29.6,63,23,0,100
2024-12-07T11:00,31.2,57,24,0,60
2024-12-07T12:00,32.4,54,22,0,34
2024-12-07T13:00,32.6,53,19,0,85
2024-12-07T14:00,32.9,52,13,0,65
2024-12-07T15:00,31.3,59,7,0,100
2024-12-07T16:00,30.1,65,6,0,100
2024-12-07T17:00,29.1,69,18,0,100
2024-12-07T18:00,28.1,70,35,0,91
2024-12-07T19:00,27.3,73,48,0,73
2024-12-07T20:00,27.1,74,52,0,100
2024-12-07T21:00,26.7,76,50,0,100
2024-12-07T22:00,26.4,78,45,0,100
2024-12-07T23:00,26.3,78,33,0,100
2024-12-08T00:00,26,79,18,0,34
2024-12-08T01:00,25.5,79,6,0,98
2024-12-08T02:00,25,80,1,0,92
2024-12-08T03:00,24.5,81,0,0,100
2024-12-08T04:00,24.1,82,0,0,75
2024-12-08T05:00,23.8,82,0,0,11
2024-12-08T06:00,23.6,82,0,0,100
2024-12-08T07:00,24.4,77,0,0,16
2024-12-08T08:00,26.4,66,0,0,11
2024-12-08T09:00,28.1,59,0,0,57
2024-12-08T10:00,29.5,55,0,0,79
2024-12-08T11:00,30.6,52,0,0,100
2024-12-08T12:00,31.6,49,0,0,100
2024-12-08T13:00,32.2,48,0,0,100
2024-12-08T14:00,32.8,46,0,0,100
2024-12-08T15:00,33.1,45,0,0,100
2024-12-08T16:00,32.6,47,0,0,100
2024-12-08T17:00,30.5,52,0,0,100
2024-12-08T18:00,29.4,52,0,0,69
2024-12-08T19:00,28.9,52,0,0,100
2024-12-08T20:00,28.5,53,0,0,100
2024-12-08T21:00,28,54,0,0,100
2024-12-08T22:00,27.3,57,0,0,98
2024-12-08T23:00,26.6,59,0,0,21
2024-12-09T00:00,26.2,60,0,0,91
2024-12-09T01:00,25.5,62,0,0,100
2024-12-09T02:00,25.2,63,0,0,100
2024-12-09T03:00,24.9,64,0,0,100
2024-12-09T04:00,24.5,65,0,0,100
2024-12-09T05:00,24.1,68,0,0,100
2024-12-09T06:00,23.8,70,0,0,100
2024-12-09T07:00,23.8,73,0,0,99
2024-12-09T08:00,25.4,68,0,0,80
2024-12-09T09:00,27.2,63,0,0,43
2024-12-09T10:00,28.2,60,0,0,100
2024-12-09T11:00,28.1,61,0,0,100
2024-12-09T12:00,29.4,57,0,0,100
2024-12-09T13:00,30.7,53,0,0,100
2024-12-09T14:00,31.5,50,0,0,100
2024-12-09T15:00,31.6,49,0,0,100
2024-12-09T16:00,30.7,54,0,0,100
2024-12-09T17:00,29.4,59,0,0,100
2024-12-09T18:00,28.3,60,0,0,100
2024-12-09T19:00,26.8,65,0,0,100
2024-12-09T20:00,25.8,66,0,0,100
2024-12-09T21:00,25.6,67,0,0,100
2024-12-09T22:00,25.5,70,0,0,100
2024-12-09T23:00,25.4,69,0,0,100
2024-12-10T00:00,24.8,71,0,0,100
2024-12-10T01:00,24.5,71,0,0,100
2024-12-10T02:00,24.7,69,0,0,100
2024-12-10T03:00,24.2,70,0,0,100
2024-12-10T04:00,23.8,71,0,0,100
2024-12-10T05:00,24.1,70,0,0,100
2024-12-10T06:00,23.7,71,0,0,100
2024-12-10T07:00,23.7,73,0,0,100
2024-12-10T08:00,24.5,73,0,0,100
2024-12-10T09:00,25.7,70,0,0,100
2024-12-10T10:00,27.5,63,0,0,100
2024-12-10T11:00,29,58,0,0,100
2024-12-10T12:00,29.8,55,0,0,100
2024-12-10T13:00,30,54,0,0,100
2024-12-10T14:00,30.4,53,0,0,100
2024-12-10T15:00,30.3,54,0,0,100
2024-12-10T16:00,29.9,56,0,0,100
2024-12-10T17:00,28.8,61,0,0,100
2024-12-10T18:00,27.3,64,0,0,100
2024-12-10T19:00,26.4,67,0,0,100
2024-12-10T20:00,25.6,69,0,0,100
2024-12-10T21:00,25.2,69,0,0,100
2024-12-10T22:00,24.9,70,0,0,100
2024-12-10T23:00,24.8,71,6,0,100
2024-12-11T00:00,24.7,71,16,0,100
2024-12-11T01:00,24.5,76,23,0.1,100
2024-12-11T02:00,23.8,80,26,0,100
2024-12-11T03:00,23.9,79,28,0,100
2024-12-11T04:00,23.9,80,32,0.1,100
2024-12-11T05:00,23.3,83,45,0.3,100
2024-12-11T06:00,23.1,85,62,0.2,100
2024-12-11T07:00,23.3,84,68,0.1,100
2024-12-11T08:00,23.6,83,56,0,100
2024-12-11T09:00,25.1,78,33,0,100
2024-12-11T10:00,25.8,75,16,0,100
2024-12-11T11:00,27,69,9,0,100
2024-12-11T12:00,29.1,59,7,0,100
2024-12-11T13:00,27.7,67,6,0,100
2024-12-11T14:00,27.1,70,5,0,100
2024-12-11T15:00,26.8,73,5,0,100
2024-12-11T16:00,26,76,6,0,100
2024-12-11T17:00,25.4,80,10,0,100
2024-12-11T18:00,25.2,80,14,0,100
2024-12-11T19:00,24.4,84,16,0,100
2024-12-11T20:00,24.8,82,12,0,100
2024-12-11T21:00,24.2,85,5,0,100
2024-12-11T22:00,24,86,0,0,100
2024-12-11T23:00,23.7,87,0,0,100
2024-12-12T00:00,23.8,86,0,0,100
2024-12-12T01:00,24,84,0,0,100
2024-12-12T02:00,24.2,81,15,0,100
2024-12-12T03:00,24.2,80,35,0,100
2024-12-12T04:00,23.9,82,48,0,100
2024-12-12T05:00,23.6,84,47,0,100
2024-12-12T06:00,23.7,83,38,0,100
2024-12-12T07:00,24.2,82,29,0,100
2024-12-12T08:00,25.3,78,18,0,100
2024-12-12T09:00,27.1,72,6,0,100
2024-12-12T10:00,28.8,66,3,0,100
2024-12-12T11:00,30.3,62,14,0,100
2024-12-12T12:00,31.4,59,33,0,41
2024-12-12T13:00,31.6,57,52,0,77
2024-12-12T14:00,31.4,58,69,0,100
2024-12-12T15:00,30.5,63,86,0,100
2024-12-12T16:00,28.5,71,97,0,100
2024-12-12T17:00,27.8,72,100,0,100
2024-12-12T18:00,27.1,76,98,0,100
2024-12-12T19:00,26.9,79,90,0,100
2024-12-12T20:00,27,79,72,0,100
2024-12-12T21:00,26.1,82,48,0,100
2024-12-12T22:00,25.4,85,29,0,100
2024-12-12T23:00,24.9,86,19,0,100
2024-12-13T00:00,24.7,86,14,0,100
2024-12-13T01:00,24.5,86,16,0,100
2024-12-13T02:00,24.3,87,29,0,100
2024-12-13T03:00,24,88,50,0,100
2024-12-13T04:00,23.9,89,65,0,100
2024-12-13T05:00,23.4,92,71,0,99
2024-12-13T06:00,23.7,90,73,0,100
2024-12-13T07:00,24.3,88,71,0,100
2024-12-13T08:00,25,84,64,0,100
2024-12-13T09:00,26.1,78,52,0,100
2024-12-13T10:00,26.6,75,42,0,97
2024-12-13T11:00,28.4,67,32,0,92
2024-12-13T12:00,27.1,72,24,0,100
2024-12-13T13:00,26.6,74,23,0,100
2024-12-13T14:00,28.3,68,38,0,96
2024-12-13T15:00,26.6,76,60,0,100
2024-12-13T16:00,27.8,71,77,0,100
2024-12-13T17:00,27.3,72,80,0,100
2024-12-13T18:00,26.1,79,77,0,100
2024-12-13T19:00,25.3,84,77,0,100
2024-12-13T20:00,24.9,87,84,0,100
2024-12-13T21:00,24.4,91,94,0,100
2024-12-13T22:00,24,94,100,0,100
2024-12-13T23:00,24.1,94,100,0,100
2024-12-14T00:00,23.6,96,100,0,100
2024-12-14T01:00,23.7,95,94,0,100
2024-12-14T02:00,23.6,95,75,0,100
2024-12-14T03:00,23.6,94,50,0,100
2024-12-14T04:00,23.7,92,32,0,100
2024-12-14T05:00,23.9,88,29,0,100
2024-12-14T06:00,23.5,88,34,0.1,100
2024-12-14T07:00,23.4,86,35,0,100
2024-12-14T08:00,23.9,83,26,0,100
2024-12-14T09:00,24.8,80,13,0,100
2024-12-14T10:00,26.8,69,3,0,100
2024-12-14T11:00,27.4,67,0,0,100
2024-12-14T12:00,28.4,63,0,0,100
2024-12-14T13:00,28.5,64,0,0,100
2024-12-14T14:00,30.6,56,16,0,100
2024-12-14T15:00,27.6,80,35,0,98
2024-12-14T16:00,26.8,85,43,0.1,100
2024-12-14T17:00,25.9,91,63,0.4,100
2024-12-14T18:00,25.3,94,78,0.3,100
2024-12-14T19:00,26.3,89,63,0,100
2024-12-14T20:00,25.9,91,75,0,92
2024-12-14T21:00,25.7,92,63,0,90
2024-12-14T22:00,25.7,91,30,0,94
2024-12-14T23:00,25.9,84,28,0,100
2024-12-15T00:00,25.7,82,25,0,100
2024-12-15T01:00,25.4,80,30,0,83
2024-12-15T02:00,25.2,79,25,0,94
2024-12-15T03:00,25.1,79,38,0,94
2024-12-15T04:00,24.9,80,40,0,99
2024-12-15T05:00,24.7,81,35,0,98
2024-12-15T06:00,24.7,80,40,0,100
2024-12-15T07:00,24.6,84,25,0,83
