nethouse_id,crop_type,cycle_number,transplant_date,plant_care_date,harvest_date,day_to_harvest,yield_kg_per_m2,fertilizer_A,fertilizer_B,fertilizer_C,fertilizer_D,insecticide,fungicide,pesticide_A,pesticide_B,temperature_2m (°C),relative_humidity_2m (%),rain (mm),temperature_80m (°C),temperature_120m (°C),temperature_180m (°C),soil_temperature_0cm (°C),soil_temperature_6cm (°C),soil_temperature_18cm (°C),soil_temperature_54cm (°C),soil_moisture_0_to_1cm (m³/m³),soil_moisture_1_to_3cm (m³/m³),soil_moisture_3_to_9cm (m³/m³),soil_moisture_9_to_27cm (m³/m³),soil_moisture_27_to_81cm (m³/m³)
115,curly_cabbage,1,07/01/2024,7/5/2024,07/28/2024,28,1.468,0.05,0,0,0,0,0,0.03,0,27.1875,85.375,0,27.03333333,26.47083333,25.78333333,27.74583333,27.85,28.02083333,28.50833333,0.278875,0.2795416667,0.2772083333,0.25925,0.177625
115,curly_cabbage,1,07/01/2024,7/6/2024,07/28/2024,28,1.468,0,0.03,0.03,0,0,0,0,0,27.71666667,81.91666667,0,27.93333333,27.33333333,26.63333333,28.2625,28.2125,28.05,27.74166667,0.168625,0.1698333333,0.1720416667,0.179125,0.1914583333
115,curly_cabbage,1,07/01/2024,7/8/2024,07/28/2024,28,1.468,0,0.5,0.5,0,0,0,0,0,27.78333333,85.625,0,27.81666667,27.24166667,26.56666667,28.3375,28.25833333,28.20416667,28.4625,0.283875,0.2825,0.2802083333,0.2602916667,0.1822083333
115,curly_cabbage,1,07/01/2024,7/9/2024,07/28/2024,28,1.468,0,0,0,0,0,0,0,0.08,27.71666667,81.91666667,0,27.93333333,27.33333333,26.63333333,28.2625,28.2125,28.05,27.74166667,0.168625,0.1698333333,0.1720416667,0.179125,0.1914583333
115,curly_cabbage,1,07/01/2024,7/10/2024,07/28/2024,28,1.468,0,1,1,0,0,0,0,0,27.74583333,87.29166667,0,27.59166667,27.05416667,26.36666667,28.43333333,28.59583333,28.575,28.5,0.31475,0.3157083333,0.3169166667,0.3060833333,0.1930416667
115,curly_cabbage,1,07/01/2024,7/12/2024,07/28/2024,28,1.468,0,0,0,0,0,0,0.03,0,27.71666667,81.91666667,0,27.93333333,27.33333333,26.63333333,28.2625,28.2125,28.05,27.74166667,0.168625,0.1698333333,0.1720416667,0.179125,0.1914583333
115,curly_cabbage,1,07/01/2024,7/12/2024,07/28/2024,28,1.468,0,1,1,0,0,0,0,0,27.90833333,86.29166667,0,27.52083333,26.9375,26.275,28.5,28.5875,28.6125,28.54583333,0.3212083333,0.322375,0.3230833333,0.3204166667,0.2034583333
115,curly_cabbage,1,07/01/2024,7/14/2024,07/28/2024,28,1.468,0,1,1,0,0,0,0,0,27.71666667,81.91666667,0,27.93333333,27.33333333,26.63333333,28.2625,28.2125,28.05,27.74166667,0.168625,0.1698333333,0.1720416667,0.179125,0.1914583333
115,curly_cabbage,1,07/01/2024,7/15/2024,07/28/2024,28,1.468,0.03,0.08,0,0,0,0,0,0,27.3375,86.91666667,0,27.225,26.63333333,25.92083333,27.8625,28.04583333,28.35,28.575,0.3173333333,0.31925,0.3207916667,0.320125,0.2127916667
115,curly_cabbage,1,07/01/2024,7/16/2024,07/28/2024,28,1.468,0,1,1,0,0,0,0,0,27.71666667,81.91666667,0,27.93333333,27.33333333,26.63333333,28.2625,28.2125,28.05,27.74166667,0.168625,0.1698333333,0.1720416667,0.179125,0.1914583333
115,curly_cabbage,1,07/01/2024,7/18/2024,07/28/2024,28,1.468,0,1,1,0,0,0,0,0,27.3375,86.91666667,0,27.225,26.63333333,25.92083333,27.8625,28.04583333,28.35,28.575,0.3173333333,0.31925,0.3207916667,0.320125,0.2127916667
115,curly_cabbage,1,07/01/2024,7/18/2024,07/28/2024,28,1.468,0,0.08,0,0,0,0,0,0,27.3375,86.91666667,0,27.225,26.63333333,25.92083333,27.8625,28.04583333,28.35,28.575,0.3173333333,0.31925,0.3207916667,0.320125,0.2127916667
114,bok_choy,1,07/02/2024,7/5/2024,07/30/2024,29,1.552,0.05,0,0,0,0,0,0.03,0,28.60833333,79.83333333,0,28.67083333,28.05,27.27916667,29.30416667,29.2375,29.02083333,28.45,0.24625,0.24625,0.2444583333,0.2355,0.1907083333
114,bok_choy,1,07/02/2024,7/6/2024,07/30/2024,29,1.552,0,0.03,0.03,0,0,0,0,0,28.60833333,79.83333333,0,28.67083333,28.05,27.27916667,29.30416667,29.2375,29.02083333,28.45,0.24625,0.24625,0.2444583333,0.2355,0.1907083333
114,bok_choy,1,07/02/2024,7/8/2024,07/30/2024,29,1.552,0,0.5,0.5,0,0,0,0,0,28.60833333,79.83333333,0,28.67083333,28.05,27.27916667,29.30416667,29.2375,29.02083333,28.45,0.24625,0.24625,0.2444583333,0.2355,0.1907083333
114,bok_choy,1,07/02/2024,7/9/2024,07/30/2024,29,1.552,0,0,0,0,0,0,0,0.08,28.60833333,79.83333333,0,28.67083333,28.05,27.27916667,29.30416667,29.2375,29.02083333,28.45,0.24625,0.24625,0.2444583333,0.2355,0.1907083333
114,bok_choy,1,07/02/2024,7/10/2024,07/30/2024,29,1.552,0,1,1,0,0,0,0,0,27.26666667,81.5,0,26.80833333,26.17916667,25.42083333,27.55416667,27.675,27.975,28.5,0.2957083333,0.2974583333,0.301125,0.308625,0.2262916667
114,bok_choy,1,07/02/2024,7/12/2024,07/30/2024,29,1.552,0,0,0,0,0,0,0.03,0,27.4,79.29166667,0,26.93333333,26.29166667,25.52083333,27.30833333,27.47916667,27.74583333,28.39166667,0.272125,0.2742916667,0.2794166667,0.2883333333,0.232625
114,bok_choy,1,07/02/2024,7/12/2024,07/30/2024,29,1.552,0,1,1,0,0,0,0,0,27.4,79.29166667,0,26.93333333,26.29166667,25.52083333,27.30833333,27.47916667,27.74583333,28.39166667,0.272125,0.2742916667,0.2794166667,0.2883333333,0.232625
